|     numerator|      denominator|                     ratio|         filename            |   z | title                                                                    |
|          char|             char|                      char|             char            |float| char                                                                     |
|              |                 |                          |                             |     | null                                                                     |
|          null|             null|                      null|                  null       |null | null                                                                     |
          OI_63           CII_158              OI_63/CII_158       OI63_CII158sm              1   [O I] 63 $\mu$m / [C II] 158 $\mu$m
  OI_63+CII_158               FIR          OI_63+CII_158/FIR       OI63+CII158_FIRsm          1   ([O I] 63 $\mu$m + [C II] 158 $\mu$m) / I$_{FIR}$
 OI_145+CII_158               FIR         OI_145+CII_158/FIR       OI145+CII158_FIRsm         1   ([O I] 145 $\mu$m + [C II] 158 $\mu$m) / I$_{FIR}$
         OI_145             OI_63               OI_145/OI_63       OI145_OI63sm               1   [O I] 145 $\mu$m / [O I] 63 $\mu$m          
         CI_370            CI_609              CI_370/CI_609       CI370_CI609sm              1   [C I] 370 $\mu$m / [C I] 609 $\mu$m
        CII_158            CI_609             CII_158/CI_609       CII158_CI609sm             1   [C II] 158 $\mu$m / [C I] 609 $\mu$m
        CII_158            OI_145             CII_158/OI_158       CII158_OI145sm             1   [C II] 158 $\mu$m / [O I] 145 $\mu$m 
        CII_158               FIR                CII_158/FIR       CII158_FIRsm               1   [C II] 158 $\mu$m / I$_{FIR}$
        CII_158             CO_10              CII_158/CO_10       CII158_CO10sm              1   [C II] 158 $\mu$m / CO(J=1-0)
        CII_158             CO_21              CII_158/CO_21       CII158_CO21sm              1   [C II] 158 $\mu$m / CO(J=2-1)
        CII_158             CO_32              CII_158/CO_32       CII158_CO32sm              1   [C II] 158 $\mu$m / CO(J=3-2)
        CII_158             CO_65              CII_158/CO_65       CII158_CO65sm              1   [C II] 158 $\mu$m / CO(J=6-5)
          CO_21             CO_10                CO_21/CO_10       CO21_CO10sm                1   CO(J=2-1) / CO(J=1-0)
          CO_32             CO_10                CO_32/CO_10       CO32_CO10sm                1   CO(J=3-2) / CO(J=1-0)
          CO_32             CO_21                CO_32/CO_21       CO32_CO21sm                1   CO(J=3-2) / CO(J=2-1)
         CI_609             CO_43               CI_609/CO_43       CI609_CO43sm               1   [C I] 609 $\mu$m / CO(J=4-3)
         CI_609             CO_21               CI_609/CO_21       CI609_CO21sm               1   [C I] 609 $\mu$m / CO(J=2-1)
         CI_609             CO_10               CI_609/CO_10       CI609_CO10sm               1   [C I] 609 $\mu$m / CO(J=1-0)
          CO_43             CO_21                CO_43/CO_21       CO43_CO21sm                1   CO(J=4-3) / CO(J=2-1)
          CO_65             CO_10                CO_65/CO_10       CO65_CO10sm                1   CO(J=6-5) / CO(J=1-0)
          CO_76             CO_10                CO_76/CO_10       CO76_CO10sm                1   CO(J=7-6) / CO(J=1-0)
          CO_76             CO_21                CO_76/CO_21       CO76_CO21sm                1   CO(J=7-6) / CO(J=2-1)
          CO_76             CO_43                CO_76/CO_43       CO76_CO43sm                1   CO(J=7-6) / CO(J=4-3)
          CO_76             CO_54                CO_76/CO_54       CO76_CO54sm                1   CO(J=7-6) / CO(J=5-4)
          CO_76             CO_65                CO_76/CO_65       CO76_CO65sm                1   CO(J=7-6) / CO(J=6-5)
          CO_87             CO_54                CO_87/CO_54       CO87_CO54sm                1   CO(J=8-7) / CO(J=5-4)
          CO_87             CO_65                CO_87/CO_65       CO87_CO65sm                1   CO(J=8-7) / CO(J=6-5)
          CO_98             CO_54                CO_98/CO_54       CO98_CO54sm                1   CO(J=9-8) / CO(J=5-4)
          CO_98             CO_65                CO_98/CO_65       CO98_CO65sm                1   CO(J=9-8) / CO(J=6-5)
         CO_109             CO_54               CO_109/CO_54       CO109_CO54sm               1   CO(J=10-9) / CO(J=5-4)
         CO_109             CO_65               CO_109/CO_65       CO109_CO65sm               1   CO(J=10-9) / CO(J=6-5)
         CO_109             CO_76               CO_109/CO_76       CO109_CO76sm               1   CO(J=10-9) / CO(J=7-6)
        CO_1110             CO_54              CO_1110/CO_54       CO1110_CO54sm              1   CO(J=11-10) / CO(J=5-4)
        CO_1110             CO_65              CO_1110/CO_65       CO1110_CO65sm              1   CO(J=11-10) / CO(J=6-5)
        CO_1211             CO_54              CO_1211/CO_54       CO1211_CO54sm              1   CO(J=12-11) / CO(J=5-4)
        CO_1211             CO_65              CO_1211/CO_65       CO1211_CO65sm              1   CO(J=12-11) / CO(J=6-5)
        CO_1312             CO_54              CO_1312/CO_54       CO1312_CO54sm              1   CO(J=13-12) / CO(J=5-4)
        CO_1312             CO_65              CO_1312/CO_65       CO1312_CO65sm              1   CO(J=13-12) / CO(J=6-5)
